location,n.x,population_total,pct_of_total_population,n.y,total_sample,pct_of_total_sample
olin,1561000,3034949,51.43,3063,6000,51.05
ech,277225,3034949,9.13,551,6000,9.180000000000001
was,234108,3034949,7.71,450,6000,7.5
law,199907,3034949,6.59,394,6000,6.569999999999999
mann,157457,3034949,5.19,316,6000,5.27
uris,142498,3034949,4.7,288,6000,4.8
mus,128805,3034949,4.24,275,6000,4.58
sasa,97135,3034949,3.2,194,6000,3.2300000000000004
ilr,80044,3034949,2.64,140,6000,2.33
math,54553,3034949,1.7999999999999998,98,6000,1.63
afr,24342,3034949,0.8,47,6000,0.7799999999999999
jgsm,19652,3034949,0.65,36,6000,0.6
hote,14779,3034949,0.49,38,6000,0.63
vet,9864,3034949,0.33,26,6000,0.43
orni,9211,3034949,0.3,22,6000,0.37
"mus,ref",7472,3034949,0.25,18,6000,0.3
"olin,ref",4762,3034949,0.16,14,6000,0.22999999999999998
"was,ref",2252,3034949,0.06999999999999999,7,6000,0.12
phys,2208,3034949,0.06999999999999999,3,6000,0.05
"ech,ref",1891,3034949,0.06,5,6000,0.08
"law,ref",1017,3034949,0.03,2,6000,0.03
asia,849,3034949,0.03,1,6000,0.02
"afr,ref",733,3034949,0.02,1,6000,0.02
"sasa,ref",715,3034949,0.02,1,6000,0.02
"uris,ref",700,3034949,0.02,3,6000,0.05
"mann,ref",612,3034949,0.02,3,6000,0.05
"ilr,ref",460,3034949,0.02,NA,NA,NA
"hote,ref",337,3034949,0.01,NA,NA,NA
"math,ref",301,3034949,0.01,4,6000,0.06999999999999999
"asia,ref",60,3034949,0,NA,NA,NA
