location,n.x,population_total,pct_of_total_population,n.y,total_sample,pct_of_total_sample
olin,1561000,3013637,51.800000000000004,3123,6000,52.05
ech,277225,3013637,9.2,563,6000,9.379999999999999
was,234108,3013637,7.7700000000000005,441,6000,7.35
law,199907,3013637,6.63,417,6000,6.950000000000001
mann,157457,3013637,5.220000000000001,274,6000,4.569999999999999
uris,142498,3013637,4.73,283,6000,4.72
mus,128805,3013637,4.2700000000000005,270,6000,4.5
sasa,97135,3013637,3.2199999999999998,197,6000,3.2800000000000002
ilr,80044,3013637,2.6599999999999997,173,6000,2.88
math,54553,3013637,1.81,109,6000,1.82
afr,24342,3013637,0.8099999999999999,53,6000,0.88
jgsm,19652,3013637,0.65,36,6000,0.6
hote,14779,3013637,0.49,26,6000,0.43
vet,9864,3013637,0.33,19,6000,0.32
orni,9211,3013637,0.31,14,6000,0.22999999999999998
phys,2208,3013637,0.06999999999999999,NA,NA,NA
asia,849,3013637,0.03,2,6000,0.03
