hld_id,bib_id,f852,location,rownumber
8,3099,00$bmath$hQA278.2$i.W42 1985,math,1
1136,343750,"01$blaw$t2$hK1$i.N967$xh765$xCheck-in record made 10-24-00&rt.; +/3x per yr.; v.55-57 pd - 135.00 - inv no 223800.; v.58 pd - 25.00 - 225433.; stmt 2 pay't is for v.59:no.3-v.60:no.2.; repl request for 64(1) on DORD 4;gb; v.64:no.1 (1995:fall) repl recd; dups 65(1-2) to dups 2-11-98;gb; 65(1-3),66(1) 2d shipmnet of dups to dups;gb$xcopy 2 cancelled 2/8/06 pj$zSubscription cancelled in 2006.",law,503
2240,600318,00$bolin$hBS680.W7$iB83,olin,1005
3298,845171,00$bjgsm$t2$hHD3616.U47$iB84$x02,jgsm,1507
4580,505,00$bilr$hHD7256.U5$iH77,ilr,2009
6315,1794,00$blaw$hNA2545.P5$iL36$xx790,law,2511
7833,2958,00$bolin$hJX4171.I6$iT15,olin,3013
9127,3999,00$blaw$hKZ6115$i.I56$zBound in: nos.296-315,law,3515
10364,4913,00$bilr$t4$hHF5549$i.C8393,ilr,4017
11374,5659,00$blaw$hK3590.4$i.B64 1970$xformerly: JX4413  .B67,law,4519
12314,6404,00$buris$hQ175.W59$iS4 1925b$x1926 prtg,uris,5021
14251,7818,01$bolin$hDG975.M57$iM67,olin,5523
16128,9170,00$borni$hQL691.I4$iA39 1969,orni,6025
18087,10656,00$borni$hQL684.S8$iP51,orni,6527
20243,12246,00$bolin$hCC77.5$i.A66,olin,7029
22628,13929,00$bmann$t2$hS591$i.L75 1960$xTrans. from gnva;04/13/00,mann,7531
24907,15533,00$bolin$hPS1744.G52$iZ85,olin,8033
27451,17390,00$bolin$hPT405$i.T39,olin,8535
29553,18992,00$buris$hQ310$i.S96,uris,9037
31837,20653,00$bolin$hP40.45.G7$iS65,olin,9539
33925,22274,00$bmath$hQA273$i.K54,math,10041
36049,23903,00$blaw$hK1741.A55$iC74 1971,law,10543
37929,25353,00$buris$t2$hQD553$i.M15$xx601,uris,11045
40248,27045,"00$bolin$kOversize$hN6512$i.E97$m++$xTransferred from phys 12/10/09, bt",olin,11547
42237,28563,00$borni$hQL683$i.G86,orni,12049
44201,29997,00$buris$hTD223$i.B63$xx557,uris,12551
46048,31378,00$bmath$hQA431$i.P65,math,13053
48070,32916,00$bsasa$hPK2200.M64$iA95 1983,sasa,13555
50052,34388,01$borni$kFuertes Collection$hQL684.M6$iR64 1936,orni,14057
52356,36141,00$bwas$hBQ687$i.M47,was,14559
